{'batch_size': 16, 'epochs': 200, 'hidden_dim': 256, 'lr': 0.0001, 'num_gin_layers': 4, 'num_lin_layers': 1, 'random_seed': 42}
Training for parameters: {'batch_size': 16, 'epochs': 200, 'hidden_dim': 256, 'lr': 0.0001, 'num_gin_layers': 4, 'num_lin_layers': 1, 'random_seed': 42}
Epoch 1, Loss: 4.208821776238355, MAE: 1.5758193408901042
Epoch 2, Loss: 2.7339572031389583, MAE: 1.3178116578947414
Epoch 3, Loss: 2.5966356142000717, MAE: 1.2932059144431896
Epoch 4, Loss: 2.5924197616902265, MAE: 1.2858310970393094
Epoch 5, Loss: 2.370825458656658, MAE: 1.2274301910942251
Epoch 6, Loss: 2.32158840786327, MAE: 1.220623631504449
Epoch 7, Loss: 2.3412054563110525, MAE: 1.2211128172549335
Epoch 8, Loss: 2.22361119362441, MAE: 1.1774215947497975
Epoch 9, Loss: 2.2215001052076166, MAE: 1.180897954377261
Epoch 10, Loss: 2.225382817604325, MAE: 1.1861193903467873
Epoch 11, Loss: 2.15165211585435, MAE: 1.1650147527456283
Epoch 12, Loss: 2.106999955935912, MAE: 1.1554165417497808
Epoch 13, Loss: 2.1293517605824905, MAE: 1.1628543761643497
Epoch 14, Loss: 2.038298126919703, MAE: 1.1383697360754013
Epoch 15, Loss: 2.0501685218377546, MAE: 1.1421090480956164
Epoch 16, Loss: 2.0708671163428916, MAE: 1.1446330945600163
Epoch 17, Loss: 1.9632575866850939, MAE: 1.116803857142275
Epoch 18, Loss: 1.9496730961582878, MAE: 1.1197911481965672
Epoch 19, Loss: 2.0300009884617545, MAE: 1.135220449350097
Epoch 20, Loss: 1.9461588526313955, MAE: 1.1110068743879145
Epoch 21, Loss: 1.9296617196364836, MAE: 1.1046698927879333
Epoch 22, Loss: 1.8166863709688186, MAE: 1.0776748538017273
Epoch 23, Loss: 1.9195382624864579, MAE: 1.102990997108546
Epoch 24, Loss: 1.8946091001684016, MAE: 1.1000250298868526
Epoch 25, Loss: 1.8521135490049014, MAE: 1.0802832625129006
Epoch 26, Loss: 1.8139455971392717, MAE: 1.0752713951197537
Epoch 27, Loss: 1.8229957924647764, MAE: 1.0705706496130336
Epoch 28, Loss: 1.8199076760898938, MAE: 1.0747005587274379
Epoch 29, Loss: 1.7458928151564164, MAE: 1.0562850185415962
Epoch 30, Loss: 1.7976702906868673, MAE: 1.0654566519639708
Epoch 31, Loss: 1.731614061106335, MAE: 1.048453049768101
Epoch 32, Loss: 1.7084449571642009, MAE: 1.0371073518287053
Epoch 33, Loss: 1.761238659782843, MAE: 1.0594072759151458
Epoch 34, Loss: 1.7481811206449163, MAE: 1.055274144627831
Epoch 35, Loss: 1.6661389806053855, MAE: 1.0232705953446302
Epoch 36, Loss: 1.6877594365315003, MAE: 1.0358939310366457
Epoch 37, Loss: 1.7400861217217012, MAE: 1.0506140912120991
Epoch 38, Loss: 1.5990778883749788, MAE: 1.004468539086255
Epoch 39, Loss: 1.6047034548087553, MAE: 1.013373979655179
Epoch 40, Loss: 1.6220283296975222, MAE: 1.0046962662176653
Epoch 41, Loss: 1.6024718543345278, MAE: 1.0157780693335967
Epoch 42, Loss: 1.6501778534867546, MAE: 1.015472240610556
Epoch 43, Loss: 1.6617889970541, MAE: 1.029775068434802
Epoch 44, Loss: 1.5827584431930022, MAE: 1.0024564480239695
Epoch 45, Loss: 1.578124596449462, MAE: 1.0093228405172174
Epoch 46, Loss: 1.5487810623916713, MAE: 0.9897000377828424
Epoch 47, Loss: 1.5784479414874857, MAE: 1.0037827088074252
Epoch 48, Loss: 1.5424097296866504, MAE: 0.9920582167126916
Epoch 49, Loss: 1.54260884902694, MAE: 0.9875305900519544
Epoch 50, Loss: 1.496437898955562, MAE: 0.9713872895999388
Epoch 51, Loss: 1.5277361672032963, MAE: 0.9863822275942022
Epoch 52, Loss: 1.5312065667726777, MAE: 0.9818230146711523
Epoch 53, Loss: 1.5002289506522093, MAE: 0.976304771954363
Epoch 54, Loss: 1.4733536603775892, MAE: 0.9642237649722533
Epoch 55, Loss: 1.4899739404970949, MAE: 0.9586296872659164
Epoch 56, Loss: 1.4988103705373677, MAE: 0.9737197721546347
Epoch 57, Loss: 1.4791082806207918, MAE: 0.9666517322713678
Epoch 58, Loss: 1.4667259152639995, MAE: 0.9593855162913149
Epoch 59, Loss: 1.4749767180193554, MAE: 0.9656734443523667
Epoch 60, Loss: 1.393854404173114, MAE: 0.9384719404307279
Epoch 61, Loss: 1.4612312205813147, MAE: 0.9656556370583448
Epoch 62, Loss: 1.429404047673399, MAE: 0.9487072041088884
Epoch 63, Loss: 1.3870735593817451, MAE: 0.9415928203951228
Epoch 64, Loss: 1.4300057552077554, MAE: 0.9572826496579431
Epoch 65, Loss: 1.4629579224369742, MAE: 0.9578286384994333
Epoch 66, Loss: 1.4013460886749354, MAE: 0.9420919255776838
Epoch 67, Loss: 1.389636424725706, MAE: 0.9356881317767229
Epoch 68, Loss: 1.3621866655620662, MAE: 0.9294142097234726
Epoch 69, Loss: 1.389999530125748, MAE: 0.9308485543186015
Epoch 70, Loss: 1.382184005460956, MAE: 0.9313562500205907
Epoch 71, Loss: 1.3665282634171572, MAE: 0.9257751363244924
Epoch 72, Loss: 1.3863648735664107, MAE: 0.9363599839535627
Epoch 73, Loss: 1.3391483029181308, MAE: 0.9162280418656089
Epoch 74, Loss: 1.3778003735975786, MAE: 0.9277592156421054
Epoch 75, Loss: 1.3099135829643769, MAE: 0.9082355344837362
Epoch 76, Loss: 1.329434531114318, MAE: 0.9137279342521321
Epoch 77, Loss: 1.3208429677919908, MAE: 0.9182714620774443
Epoch 78, Loss: 1.2919950982386417, MAE: 0.9015474124388261
Epoch 79, Loss: 1.28128441111608, MAE: 0.8944313485514034
Epoch 80, Loss: 1.276614898443222, MAE: 0.8932680549946699
Epoch 81, Loss: 1.2485925205729225, MAE: 0.8803658754988151
Epoch 82, Loss: 1.2753623589873313, MAE: 0.8941377142613585
Epoch 83, Loss: 1.27073163904927, MAE: 0.8966263177719983
Epoch 84, Loss: 1.2543636838143521, MAE: 0.8854299050840464
Epoch 85, Loss: 1.2339231673966755, MAE: 0.8812699806961146
