2024-01-14 06:17:23,691 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Configure stats pid to 125868
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Loading settings from /home/onyxia/.config/wandb/settings
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Loading settings from /home/onyxia/work/aml_project/wandb/settings
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'hyperparameter-sweep', 'entity': 'emanie-luu', 'root_dir': '/home/onyxia/work/aml_project', 'run_id': 'fwkq2omy', 'sweep_param_path': '/home/onyxia/work/aml_project/wandb/sweep-jsbsvymc/config-fwkq2omy.yaml', 'sweep_id': 'jsbsvymc'}
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-14 06:17:23,692 WARNING Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Could not find program at -m molprop_prediction.scripts.grid_search_wandb_bis
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program': '-m molprop_prediction.scripts.grid_search_wandb_bis'}
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_init.py:_log_setup():526] Logging user logs to /home/onyxia/work/aml_project/wandb/run-20240114_061723-fwkq2omy/logs/debug.log
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_init.py:_log_setup():527] Logging internal logs to /home/onyxia/work/aml_project/wandb/run-20240114_061723-fwkq2omy/logs/debug-internal.log
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():566] calling init triggers
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():573] wandb.init called with sweep_config: {'batch_size': 32, 'epochs': 150, 'hidden_dim': 256, 'lr': 0.0001, 'num_gin_layers': 4, 'num_lin_layers': 1, 'random_seed': 42}
config: {}
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():616] starting backend
2024-01-14 06:17:23,692 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():620] setting up manager
2024-01-14 06:17:23,697 INFO    Thread-327 (_run_job):125868 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-01-14 06:17:23,698 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():628] backend started and connected
2024-01-14 06:17:23,705 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_config_callback():1342] config_cb None None {'batch_size': 32, 'epochs': 150, 'hidden_dim': 256, 'lr': 0.0001, 'num_gin_layers': 4, 'num_lin_layers': 1, 'random_seed': 42}
2024-01-14 06:17:23,707 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():720] updated telemetry
2024-01-14 06:17:23,713 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-14 06:17:24,039 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_on_init():2254] communicating current version
2024-01-14 06:17:24,110 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_on_init():2263] got version response 
2024-01-14 06:17:24,110 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():804] starting run threads in backend
2024-01-14 06:17:29,380 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_console_start():2233] atexit reg
2024-01-14 06:17:29,380 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-14 06:17:29,380 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-14 06:17:29,380 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-14 06:17:29,382 INFO    Thread-327 (_run_job):125868 [wandb_init.py:init():847] run started, returning control to user process
2024-01-14 06:20:58,834 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_finish():1962] finishing run emanie-luu/hyperparameter-sweep/fwkq2omy
2024-01-14 06:20:58,835 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-14 06:20:58,835 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_restore():2185] restore
2024-01-14 06:20:58,835 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_restore():2191] restore done
2024-01-14 06:21:03,375 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-14 06:21:03,377 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-14 06:21:03,385 INFO    Thread-327 (_run_job):125868 [wandb_run.py:_footer_sync_info():3816] logging synced files
